Crop,Support,DecisionTree_Precision,DecisionTree_Recall,DecisionTree_F1,RandomForest_Precision,RandomForest_Recall,RandomForest_F1,LogisticRegression_Precision,LogisticRegression_Recall,LogisticRegression_F1,XGBoost_Precision,XGBoost_Recall,XGBoost_F1,Ensemble_Precision,Ensemble_Recall,Ensemble_F1
banana,101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
barley,131,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9847,0.9923,1.0,1.0,1.0,1.0,1.0,1.0
bittergourd,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
blackgram,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
blackpepper,24,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bottlegourd,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
brinjal,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cabbage,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.75,1.0,1.0,1.0,1.0,1.0,1.0
cardamom,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cauliflower,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
coriander,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
cotton,123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
